traffic shift: two eastbound lanes will be shifted to the right at starting 10pm on 8/13,eastbound lanes starting,"BeltParkway,BayRidgeAve",,13-08-2015,10pm
"southbound lane closures, one night only 8/12. One lane closed 11pm-5am, two lanes closed 1am-5am",southbound lane lane closed lanes closed,FDRDrive,,12-08-2015,11pm-5am
Daytime & overnight single-lane closures on & Woodhaven Blvd Service Roads starting 8/12,overnight closures roads starting,"AtlanticAve,WoodhavenBlvd",,12-08-2015,empty
"southbound lane closures over W.158th St. 8/11 & 8/13, 12:01am-5am",southbound lane closures,HenryHudsonParkway,,11-08-2015 and 13-08-2015,12:01am-5am
"one lane closure under two nights only 8/10 & 8/12, 11pm-5am",lane closure,"JackieRobinsonParkway,MarkwoodPlace",,10-08-2015 and 12-08-2015,11pm-5am
"eastbound lane closures b/w & 8/4 thru 8/7, 10pm-5am",eastbound lane closures,"BeltParkway,FlatbushAveBridge,PaerdegatBasinBridge",,04-08-2015 to 07-08-2015,10pm-5am
"repairs 8/3 thru 8/29, see below for south and north tube lane closure schedules.",repairs south north tube lane closure schedules,BatteryParkUnderpass,,03-08-2015 to 29-08-2015,empty
"partial closure at Tues 8/4 thru Fri 8/7, 11pm-6am",partial closure,"BrooklynBridgePromenade,ParkRow",,04-08-2015 and 07-08-2015,11pm-6am
"work schedule change: On 8/1 and 8/8, the NORTH tube will be fully closed 1am-6am. SOUTH tube will remain open.",schedule change north tube closed south tube remain open,BatteryParkUnderpass,,01-08-2015 and 08-08-2015,1am-6am
"Lane closure northbound or southbound twice/week 11pm-5am, 8/3 thru 10/30. See below for alt route:",lane closure northbound southbound route,UnionportBridge,,03-08-2015 to 30-10-2015,11pm-5am
"two lane closures eastbound or westbound twice/week thru 9/30, 12:01am-5am",lane closures eastbound westbound,WashingtonBridge,,30-09-2015,12:01am-5am
"REMINDER: intermittent 15 min bridge closures 7/28 thru 8/1, 2am-5am. Alternative routes below:",reminder bridge closures alternative routes,WillisAvenueBridge,,01-08-2015 and 28-07-2015,2am-5am
"REMINDER: intermittent 15-min full bridge closures 7/28, 8/3 & 8/5, 10am-2pm",reminder full bridge closures,RooseveltIslandBridge,,03-08-2015 and 05-08-2015 and 28-07-2015,10am-2pm
REMINDER: eastbound & westbound early morn lane closures under begin this week thru 8/28,reminder eastbound westbound lane closures,"BeltParkway,ConeyIslandAve",,28-08-2015,empty
"REMINDER: intermittent 15 min bridge closures 7/25, 2am-5am. Alternative routes below:",reminder bridge closures alternative routes,WillisAveBridge,,25-07-2015,2am-5am
"intermittent 15-min full bridge closures, 7/28, 8/3 & 8/5, 10am-2pm. Rain date: 8/7",full bridge,RooseveltIslandBridge,,03-08-2015 and 05-08-2015 and 07-08-2015 and 28-07-2015,10am-2pm
